,id,image_url,rating,votes,number_in_season,number_in_series,original_air_date,original_air_year,production_code,season,title,viewers_in_millions,video_url,score,rank
36,424,http://static-media.fxx.com/img/FX_Networks_-_FXX/387/859/treehouse.jpg,7.1,757,4,424,2008-11-02,2008,KABF16,20,Treehouse of Horror XIX,12.48,http://www.simpsonsworld.com/video/691895363987,88.608,1
37,421,http://static-media.fxx.com/img/FX_Networks_-_FXX/741/843/sex_pies.jpg,7.2,780,1,421,2008-09-28,2008,KABF17,20,Sex| Pies and Idiot Scrapes,9.3,http://www.simpsonsworld.com/video/311088195682,66.96000000000001,2
38,426,http://static-media.fxx.com/img/FX_Networks_-_FXX/220/846/homer_and_lisa_exchange.jpg,7.1,599,6,426,2008-11-16,2008,KABF19,20,Homer and Lisa Exchange Cross Words,8.52,http://www.simpsonsworld.com/video/310541891517,60.492,3
39,451,http://static-media.fxx.com/img/FX_Networks_-_FXX/189/347/Once_Upon_a_Time_in_Springfield.jpg,6.7,552,10,451,2010-01-10,2010,LABF20,21,Once Upon a Time in Springfield,14.62,http://www.simpsonsworld.com/video/250379331672,97.954,1
40,445,http://static-media.fxx.com/img/FX_Networks_-_FXX/612/359/Treehouse_of_Horror_XX.jpg,7.3,671,4,445,2009-10-18,2009,LABF14,21,Treehouse of Horror XX,8.59,http://www.simpsonsworld.com/video/262634051998,62.707,2
41,443,http://static-media.fxx.com/img/FX_Networks_-_FXX/197/399/Bart_Gets_a_Z.jpg,6.6,585,2,443,2009-10-04,2009,LABF15,21,Bart Gets a 'Z',9.32,http://www.simpsonsworld.com/video/310517315862,61.512,3
42,474,http://static-media.fxx.com/img/FX_Networks_-_FXX/214/790/Simpsons_22_10.jpg,6.3,464,10,474,2011-01-09,2011,NABF03,22,Moms I'd Like to Forget,12.6,http://www.simpsonsworld.com/video/256848451515,79.38,1
43,472,http://static-media.fxx.com/img/FX_Networks_-_FXX/462/883/TheFightBeforeChristmas.jpg,6.9,564,8,472,2010-12-05,2010,MABF22,22,The Fight Before Christmas,9.54,http://www.simpsonsworld.com/video/263551043814,65.826,2
44,469,http://static-media.fxx.com/img/FX_Networks_-_FXX/452/622/Simpsons_22_05.jpg,7.2,482,5,469,2010-11-14,2010,MABF20,22,Lisa Simpson| This Isn't Your Life,8.97,http://www.simpsonsworld.com/video/263540291528,64.584,3
45,497,http://static-media.fxx.com/img/FX_Networks_-_FXX/736/663/Simpsons_23_11.jpg,7,553,11,497,2012-01-15,2012,PABF04,23,The D'oh-cial Network,11.48,http://www.simpsonsworld.com/video/230552131592,80.36,1
46,487,http://static-media.fxx.com/img/FX_Networks_-_FXX/751/263/TheFalconandtheDohman.jpg,7.2,672,1,487,2011-09-25,2011,NABF16,23,The Falcon and the D'ohman,8.08,http://www.simpsonsworld.com/video/273517123847,58.176,2
47,494,http://static-media.fxx.com/img/FX_Networks_-_FXX/702/479/TheTenPerCentSolution.jpg,6.2,476,8,494,2011-12-04,2011,PABF02,23,The Ten-Per-Cent Solution,9.01,http://www.simpsonsworld.com/video/230516291714,55.862,3
48,517,http://static-media.fxx.com/img/FX_Networks_-_FXX/113/647/Homer_Goes_to_Prep_School.jpg,6.9,411,9,517,2013-01-06,2013,RABF02,24,Homer Goes to Prep School,8.97,http://www.simpsonsworld.com/video/222382659887,61.89300000000001,1
49,515,http://static-media.fxx.com/img/FX_Networks_-_FXX/105/839/The_Day_the_Earth_Stood_Cool.jpg,7.2,493,7,515,2012-12-09,2012,PABF20,24,The Day the Earth Stood Cool,7.44,http://www.simpsonsworld.com/video/222374467937,53.568000000000005,2
50,509,http://static-media.fxx.com/img/FX_Networks_-_FXX/478/963/Moonshine_River.jpg,6.4,597,1,509,2012-09-30,2012,PABF21,24,Moonshine River,8.08,http://www.simpsonsworld.com/video/221691971633,51.712,3
51,539,http://static-media.fxx.com/img/FX_Networks_-_FXX/203/255/Steal_this_Episode.jpg,7.6,648,9,539,2014-01-05,2014,SABF05,25,Steal This Episode,12.04,http://www.simpsonsworld.com/video/310523459925,91.50399999999999,1
52,538,http://static-media.fxx.com/img/FX_Networks_-_FXX/104/859/White%20Christmas%20Blues.jpg,6.5,449,8,538,2013-12-15,2013,SABF01,25,White Christmas Blues,8.48,http://www.simpsonsworld.com/video/307199043880,55.120000000000005,2
53,537,http://static-media.fxx.com/img/FX_Networks_-_FXX/580/663/Simpsons_25_10.jpg,7,440,7,537,2013-12-08,2013,SABF04,25,Yellow Subterfuge,6.85,http://www.simpsonsworld.com/video/304476739664,47.949999999999996,3
54,562,http://static-media.fxx.com/img/FX_Networks_-_FXX/752/215/TheSimpsons_RABF15_2500_1280x720_379818051609.jpg,6.8,578,10,562,2015-01-04,2015,RABF15,26,The Man Who Came to Be Dinner,10.62,http://www.simpsonsworld.com/video/379818563729,72.216,1
55,556,http://static-media.fxx.com/img/FX_Networks_-_FXX/628/699/TheSimpsons_SABF21_2500_1280x720_344252483550.jpg,7.3,612,4,556,2014-10-19,2014,SABF21,26,Treehouse of Horror XXV,7.76,http://www.simpsonsworld.com/video/344255555880,56.647999999999996,2
56,558,http://static-media.fxx.com/img/FX_Networks_-_FXX/177/186/Simpsons_26_06.jpg,7.9,977,6,558,2014-11-09,2014,SABF16,26,Simpsorama,6.7,http://www.simpsonsworld.com/video/355593283530,52.93000000000001,3
57,585,http://static-media.fxx.com/img/FX_Networks_-_FXX/532/331/Simpsons_27_11.jpg,6.8,309,11,585,2016-01-10,2016,VABF04,27,Teenage Mutant Milk-Caused Hurdles,8.33,http://www.simpsonsworld.com/video/770430019813,56.644,1
58,583,http://static-media.fxx.com/img/FX_Networks_-_FXX/526/474/fox_TheSimpsons_VABF02_hulu.jpg,8.4,698,9,583,2015-12-13,2015,VABF02,27,Barthood,5.97,http://www.simpsonsworld.com/video/770423875541,50.148,2
59,579,http://static-media.fxx.com/img/FX_Networks_-_FXX/535/259/TheSimpsons_TABF18_1280x720_551644227791.jpg,6.8,385,5,579,2015-10-25,2015,TABF18,27,Treehouse of Horror XXVI,6.75,http://www.simpsonsworld.com/video/770433091920,45.9,3
60,597,http://static-media.fxx.com/img/FX_Networks_-_FXX/605/927/Simpsons_2720_MontyCircus_Sc1064_hires2_hires2_1280x720_772657731562.jpg,6.6,104,1,597,2016-09-25,2016,VABF20,28,Monty Burns' Fleeing Circus,3.36,http://www.simpsonsworld.com/video/772654659902,22.176,1
61,52,http://static-media.fxx.com/img/FX_Networks_-_FXX/66/543/HomerattheBat.jpg,8.6,1637,17,52,1992-02-20,1992,8F13,3,Homer at the Bat,24.6,http://www.simpsonsworld.com/video/310380099768,211.56,1
62,45,http://static-media.fxx.com/img/FX_Networks_-_FXX/688/495/FlamingMoes.jpg,8.8,1618,10,45,1991-11-21,1991,8F08,3,Flaming Moe's,23.9,http://www.simpsonsworld.com/video/305663555961,210.32,2
63,48,http://static-media.fxx.com/img/FX_Networks_-_FXX/378/791/RadioBart.jpg,8.5,1365,13,48,1992-01-09,1992,8F11,3,Radio Bart,24.2,http://www.simpsonsworld.com/video/272052803895,205.7,3
64,69,http://static-media.fxx.com/img/FX_Networks_-_FXX/252/675/Simpsons_04_10.jpg,8.5,1350,10,69,1992-12-03,1992,9F08,4,Lisa's First Word,28.6,http://www.simpsonsworld.com/video/288026691837,243.10000000000002,1
65,75,http://static-media.fxx.com/img/FX_Networks_-_FXX/214/847/Simpsons_04_16_Duffless.jpg,8.3,1209,16,75,1993-02-18,1993,9F14,4,Duffless,25.7,http://www.simpsonsworld.com/video/277249603926,213.31,2
66,68,http://static-media.fxx.com/img/FX_Networks_-_FXX/777/139/Simpsons_04_09.jpg,8.8,1595,9,68,1992-11-19,1992,9F07,4,Mr. Plow,24,http://www.simpsonsworld.com/video/273544259768,211.20000000000002,3
67,86,http://static-media.fxx.com/img/FX_Networks_-_FXX/314/99/Simpsons_05_06.jpg,8.7,1437,5,86,1993-10-28,1993,1F04,5,Treehouse of Horror IV,24,http://www.simpsonsworld.com/video/275206211805,208.79999999999998,1
68,94,http://static-media.fxx.com/img/FX_Networks_-_FXX/519/875/Simpsons_05_12.jpg,8.3,1171,13,94,1994-02-10,1994,1F10,5,Homer and Apu,21.8,http://www.simpsonsworld.com/video/279716931614,180.94000000000003,2
